url_id,title,llm_category,embedding_category,confidence,correct
8467,Invasion de l’Ukraine en cartes : l’évolution des combats semaine après semaine,geopolitica,geopolitica,0.8485038783575439,True
8466,"Clara Verduch, entrenadora: «En Barre los cambios físicos se ven muy rápido en comparación a otros deportes»",deportes,deportes,0.88448048358478,True
8465,"Puigdemont acusa a jueces, periodistas y políticos de perpetuar el franquismo",politica,geopolitica,0.8450058338322451,False
8464,Shein bajo la lupa: Greenpeace encuentra sustancias tóxicas en sus prendas,tecnologia,tecnologia,0.8650449676053422,True
8463,Italia extradita a Alemania al cerebro logístico del sabotaje del gasoducto Nord Stream,geopolitica,geopolitica,0.8672844678619454,True
8462,Bruselas rechaza que el plan de paz de EE.UU. y Rusia no tenga en cuenta a Ucrania y la UE,geopolitica,geopolitica,0.8723549520518048,True
8461,El juez Peinado encarga un informe para esclarecer si Begoña Gómez cometió intrusismo al firmar pliegos de contratación de la UCM,politica,politica,0.8574711926676181,True
8460,El Gobierno eleva su oferta salarial a los funcionarios un punto: 11% entre 2025 y 2028,politica,economia,0.8807680647482989,False
8458,Así ha sido la tercera edición de EXPANSIÓN IA Inteligencia Artificial y Nuevas Tecnologías,tecnologia,tecnologia,0.896091096742691,True
8456,Cómo evitar que su agente de IA sea un socio brillante sin estrategia,tecnologia,tecnologia,0.8482673400601823,True
8455,Pfizer presenta resultados prometedores de su nueva vacuna ARNm contra la gripe,tecnologia,tecnologia,0.88492859951361,True
8454,El fotógrafo que nos hace mirar de otra manera La Alhambra de Granada y la Mezquita de Córdoba,sociedad,sociedad,0.8571529094609214,True
8453,"Más de 50 estrellas Michelin homenajean a Berasategui: ""La revolución de la cocina española es la unidad del sector""",sociedad,sociedad,0.8744289158977874,True
8452,Nokia escindirá la filial de IA para impulsar su negocio,finanzas,finanzas,0.8566032204330358,True
8451,KPMG lanza un nuevo negocio para 'start up' y se refuerza con el fichaje de Marta Echarri,finanzas,finanzas,0.8643707280937462,True
8448,Ceca rompe con el equipo investigado por la trama al ex jefe de la UDEF,politica,geopolitica,0.8587270519175519,False
8446,Probamos las nuevas gafas inteligentes Meta Oakley Vanguard,tecnologia,tecnologia,0.8946005008885463,True
8445,Coruñesas reabrirá su pescadería de Recoletos aliado con Los 33,sociedad,sociedad,0.8594921519829848,True
8443,"'Bernabéu Infinito', la alianza del Real Madrid con Apple para ""abrir las puertas a todo el planeta""",sociedad,tecnologia,0.8763664328118932,False
8442,ArcelorMittal: un valor bien soportado y con mucho potencial,finanzas,finanzas,0.8777451229677695,True
8441,Nvidia bate las previsiones y gana un 65% más en el tercer trimestre,finanzas,finanzas,0.8811245874776656,True
8440,"Naturgy: el canal alcista, dibujado con escuadra y cartabón",finanzas,sociedad,0.8548431324482728,False
8438,Valores Ibex 35,finanzas,finanzas,0.9029603323588866,True
8437,Precio Gasolina hoy,finanzas,finanzas,0.8931776193937372,True
8436,Euríbor hoy,economia,geopolitica,0.878866363495479,False
8431,La londinense Bond Street tiene el alquiler más caro del mundo,economia,finanzas,0.8484421329107783,False
8430,Nace el primer sistema para medir las emisiones de CO2 de la economía digital en España,tecnologia,tecnologia,0.8608294254385409,True
8429,"Endesa convence con sus cuentas, pero sufre 'mal de altura'",finanzas,finanzas,0.8754028175324067,True
8428,Foodiverse sale de pérdidas tras reordenar su deuda,finanzas,finanzas,0.871271370070509,True
8427,Selenta (Brookfield) busca crecer con contratos de gestión y dar el salto internacional,finanzas,finanzas,0.8756755380122879,True
8426,Reino Unido elevará a 120.000 libras la garantía de depósitos,finanzas,finanzas,0.8782420445712374,True
8425,Deutsche Bank rebaja a la mitad su valoración de eDreams,finanzas,finanzas,0.877098473860659,True
8424,"Hacienda prorroga el sistema de módulos para autónomos, pero deja los límites en el aire",economia,politica,0.8617445185174974,False
8423,"Axa prevé cerrar de forma inminente su entrada en Fiberpass, la firma de Telefónica y Vodafone",finanzas,finanzas,0.8759486269356661,True
8422,El Senado aprueba la propuesta del PP para despenalizar el corte de suministros a los 'okupas',politica,politica,0.8500422951791349,True
8421,Cuánto subirán las pensiones a partir del 1 de enero de 2026,economia,economia,0.8664491388980536,True
8420,"Sostenibilidad, digitalización y formación revolucionan la industria",tecnologia,tecnologia,0.8934758691771247,True
8419,La noruega Kongsberg desembarca en España ante la eclosión de fondos públicos para Defensa,geopolitica,geopolitica,0.8594683300971118,True
8418,Santander AM prevé que las bolsas escalen a nuevos máximos y destaca que la española está barata,finanzas,finanzas,0.8948163292240086,True
8417,Santander lanza el 'Depósito iPhone' para dinero nuevo y ganar clientes vinculados,finanzas,finanzas,0.8610382922672439,True
8416,El seguro gana un 11% más impulsado por autos y salud,finanzas,finanzas,0.8788960883699919,True
8415,El objetivo de triplicar la energía nuclear requiere que EEUU y Europa igualen a China,tecnologia,geopolitica,0.881061302248428,False
8414,Las cuatro bazas de Europa para superar a Wall Street persistentemente,finanzas,finanzas,0.8931025564316618,True
8413,"Ceuta irrumpe con Endesa, REE y Templus en 'data center'",finanzas,finanzas,0.8716678436208868,True
8412,Redeia negociará con Iberdrola y Endesa el plan antiapagones,finanzas,tecnologia,0.8650839377451691,False
8411,Cómo impulsan el negocio familiar Torrons Vicens y Kave Home,finanzas,finanzas,0.8710085668000027,True
8410,El Gobierno eleva su oferta de subida de sueldo a funcionarios al 11% hasta 2028,politica,economia,0.8850306718104388,False
8409,El debate de investidura en Valencia será el 27 de noviembre,politica,politica,0.847633526555862,True
8408,"De París a la COP30: un éxito en el freno de las emisiones que no basta, faltan más renovables",tecnologia,tecnologia,0.8756764309536068,True
8407,"La patronal de Inditex, Mango y Tendam ofrece una subida salarial anual del 3%",economia,economia,0.8881733362099141,True
8406,"El CEO que relevó a Ana Botín en Santander UK, nuevo presidente de Jupiter",finanzas,finanzas,0.8434021134145913,True
8405,"Ricardo Pumar: ""Insur espera crecer más de un 60% hasta 2030""",finanzas,economia,0.8782107686063778,False
8404,Los fabricantes de helicópteros sobrevuelan un mercado cada vez más pequeño,finanzas,finanzas,0.8695608344402016,True
8403,"La brecha de precios con el euro, una amenaza para las exportaciones españolas",economia,finanzas,0.8561071534493329,False
8402,"Inflación, pesado lastre para las exportaciones",economia,economia,0.8979137136376578,True
8401,Europa y la carrera por los recursos naturales,geopolitica,geopolitica,0.8670485063533863,True
8400,Cerdán desbarata el plan de Sánchez,politica,politica,0.8714797617391535,True
8399,"Un Presupuesto ""irresistible"", ¿como la corrupción?",politica,politica,0.8679906879371384,True
8398,La última oportunidad de Europa para no perder el tren de la inteligencia artificial,tecnologia,tecnologia,0.8650681628494958,True
8397,Inditex bate a LVMH como líder mundial de la moda,finanzas,sociedad,0.877579064935457,False
8396,Hacienda disparará el control a los pagos por Bizum y con tarjeta desde 2026,politica,economia,0.8716879105463043,False
8394,Super Mario Bros cumple cuarenta años con un negocio en plena forma,tecnologia,sociedad,0.8629435907498737,False
8393,Cómo debe trabajar un líder la comunicación de forma eficaz,otros,geopolitica,0.8448747032005686,False
8392,"Todd Green (King): ""Siempre he disfrutado del proceso de sintetizar""",otros,deportes,0.8658376217880981,False
8391,El grupo japonés Sojitz toma el control de Nexus Energía,finanzas,tecnologia,0.8796102577717592,False
8390,Bankinter modifica la cúpula para crecer en pagos digitales,finanzas,economia,0.8651915332595332,False
8389,"JPMorgan 'deposita' su confianza en CaixaBank, relanzado en el Ibex",finanzas,finanzas,0.8727928139424327,True
8386,"Sergio Atares: ""La innovación no es un departamento, es nuestra forma de trabajar""",tecnologia,tecnologia,0.8629725031181028,True
8385,"Deloitte incorpora a 1.500 recién graduados, un 30% más",finanzas,finanzas,0.8743688706066157,True
8384,Los ascensos a socios en las Big Four se hunden a mínimos de cinco años,finanzas,finanzas,0.8748565561618884,True
8383,"Juan Roig: ""Vamos a continuar reclamando el Corredor Mediterráneo. Algún día llegará un ministro al que creamos""",politica,deportes,0.8596005983797146,False
8382,Mapfre ultima la compra de las oficinas Ombú a Acciona,finanzas,finanzas,0.8838021269759919,True
8381,"La CNMC permitirá a Aena subir las tarifas un 6,44% en 2026",economia,economia,0.8819289926180454,True
8380,¿Celebrar la muerte de Franco o la proclamación del Rey Juan Carlos?,politica,deportes,0.8502781659143916,False
8379,Éxitos y fracasos de la economía española en el tardofranquismo y la Democracia,politica,economia,0.8645978760510051,False
8378,Del 20-N de 1975 al 20-N de 2025,politica,politica,0.8831317826513829,True
8377,La Rioja: el arte de las pequeñas cosas aplicado a los grandes eventos,otros,sociedad,0.8633875921965337,False
8376,El 'efecto Nvidia' frena la caída del bitcoin,finanzas,finanzas,0.8729831320249595,True
8375,La división de la Fed enfría el recorte de tipos en diciembre,finanzas,economia,0.879807791379094,False
8374,Cuándo y cómo va a estallar la próxima corrección,finanzas,finanzas,0.8734269153047274,True
8373,JPMorgan tiene criterios opuestos ante la burbuja en IA,finanzas,finanzas,0.8834456702295984,True
8372,Jefferies cree que BBVA recomprará 6.000 millones,finanzas,finanzas,0.8897616006979658,True
8371,Las siete grandes apuestas de BlackRock en Europa,finanzas,finanzas,0.8808096235425964,True
8370,Meta deberá pagar 479 millones a los medios españoles por competencia desleal,finanzas,finanzas,0.865373123463204,True
8369,El Constitucional avala los anticipos fiscales que Hacienda cobra a las grandes empresas,politica,finanzas,0.8600364071086951,False
8368,El Gobierno eleva su oferta de subida de sueldo a los funcionarios al 11% hasta 2028,politica,economia,0.8820477119350603,False
8367,Así gestiona su fortuna Amancio Ortega,finanzas,sociedad,0.8723198924523587,False
8366,Amancio Ortega compra The Post en Canadá por cerca de 700 millones,finanzas,finanzas,0.8658125985372349,True
8365,"Cuáles son las profesiones del futuro, con Juanjo Amorín.",finanzas,tecnologia,0.8884576876535004,False
8364,"Cómo detectar las oportunidades de inversión ""invisibles"", con Iván Martín, de Magallanes.",finanzas,finanzas,0.8912280113491471,True
8363,"La Primera de Expansión sobre Acciona, PwC, Santander, Larry Summers, Nvidia y Bankinter.",finanzas,finanzas,0.9143057224470024,True
8351,Valores Bolsa,finanzas,finanzas,0.9125958178568809,True
8350,Santander First Brands,finanzas,sociedad,0.8565108579379739,False
8349,Santander dividendos,finanzas,finanzas,0.891452599505006,True
8348,Nieve alerta España,sociedad,geopolitica,0.8767927193073605,False
8347,Crónica Bolsa,finanzas,finanzas,0.9151998694005261,True
8346,Subida sueldo funcionarios,politica,politica,0.8984117513963443,True
8345,Mahou transformará bares,economia,sociedad,0.8910616887909529,False
8344,ETF renta fija,finanzas,economia,0.8905699459033632,False
8343,Banco Sabadell,finanzas,finanzas,0.8582006892210734,True
8342,Iron Mountain,finanzas,tecnologia,0.8144958432389251,False
8341,Larry Summers,finanzas,sociedad,0.8063740504215211,False
8340,Acciona delitos,finanzas,politica,0.8915700851475192,False
8339,Ibex 35 hoy,finanzas,finanzas,0.9005590149283142,True
8336,"Kevin Spacey asegura que está sin casa, “viviendo en hoteles y Airbnb”, siete años después de las acusaciones de agresión sexual que acabaron con su carrera",sociedad,sociedad,0.8675566746307973,True
8335,Absueltos los dos ex consejeros y cinco ex altos cargos de Murcia acusados de promover un pelotazo urbanístico junto al Mar Menor,politica,deportes,0.8508561961836376,False
8334,El Gobierno colombiano retira del fondo del mar cinco piezas del pecio del galeón español San José,politica,sociedad,0.8567601158099567,False
8333,El último cabo suelto para que Europa se desenganche del gas ruso,geopolitica,geopolitica,0.8559493537990098,True
8332,"Aparatoso accidente en la gala de Miss Universo: Gabrielle Henry, Miss Jamaica, evacuada en camilla tras una caída",sociedad,sociedad,0.8569728241311967,True
8331,El nuevo temor de Ucrania es este 'lanzallamas' ruso capaz de freír drones en un área de 40 kilómetros,geopolitica,tecnologia,0.8370229324671532,False
8330,El Constitucional libra a Hacienda de un agujero y avala el pago adelantado de la gran empresa,politica,politica,0.8712136364026959,True
8329,El Gobierno cede y ofrece a los funcionarios una subida de los salarios del 11% en cuatro años,politica,economia,0.8860515546394221,False
8328,"En direct : nouveaux bombardements israéliens sur la bande de Gaza, la défense civile annonce quatre morts",geopolitica,geopolitica,0.854327914935687,True
8327,"En direct : la paix en Ukraine ne doit pas passer par une « capitulation » de Kiev, déclare Jean-Noël Barrot",geopolitica,geopolitica,0.858119827243488,True
8326,podcast Épisode du 18 novembre 2025 Climat : faut-il miser sur le bio ? Écouter l'épisode,tecnologia,tecnologia,0.8745077067531055,True
8325,13:00 Qu’est-ce que le procès de Nuremberg ? Comprendre en trois minutes,geopolitica,geopolitica,0.8621730829793388,True
8324,"International Article réservé aux abonnés Quatre-vingts ans après le procès de Nuremberg, comment les images ont révolutionné la jsutice internationale",geopolitica,sociedad,0.8773062533746687,False
8323,Budget : la gauche sauve la taxe sur les yachts créée par les macronistes,politica,politica,0.8461726295152137,True
8322,"Affaire Epstein : Donald Trump promulgue la loi rendant public le dossier du prédateur sexuel, après le vote du Congrès",politica,politica,0.8576342213287633,True
8321,"Un sondage de l’IFOP sur l’islam en France, qui met en lumière un rigorisme croissant, fait débat",sociedad,sociedad,0.8352260541829388,True
8320,"Rachida Dati regrette de ne pas avoir été informée de la plainte de l’audiovisuel public contre CNews, Europe 1 et « Le JDD »",politica,sociedad,0.8472123392555809,False
8319,"Décryptage Piotr Smolar Article réservé aux abonnésAux Etats-Unis, le monde MAGA divisé sur la politique de Donald Trump et rongé par une mouvance néonazie L’affaire Epstein, les milliardaires de la tech, le Venezuela, Israël… le mouvement qui a ramené le milliardaire à la Maison Blanche se déchire aujourd’hui sur de nombreux sujets. Autour de Nick Fuentes, un courant ouvertement antisémite, raciste et misogyne y gagne du terrain. 7 min de lecture",geopolitica,finanzas,0.8617117881447616,False
8318,"Elections municipales de 2026 : à Mont-de-Marsan, l’ancienne ministre Geneviève Darrieussecq tente de récupérer son siège",politica,politica,0.8212378849781834,True
8317,"Comment Eléanor et Baptiste, locataires à Bagneux, sont devenus propriétaires à Argenteuil pour 330 000 euros",economia,finanzas,0.8371273261670855,False
8316,"La mémoire de Franco divise encore l’Espagne, cinquante ans après sa mort",geopolitica,sociedad,0.8394401848394583,False
8315,"« Ici, ma fille peut étudier sereinement » : A Pantin, un centre d’hébergement municipal pour éviter les ruptures de scolarité",sociedad,politica,0.854137612184536,False
8314,"Au Brésil, l’extrême droite vote une loi très répressive contre les factions armées",politica,politica,0.8514989112192115,True
8313,"Aux Pays-Bas, les responsables d’un site de vente de drogues de synthèse bientôt jugés pour la mort d’au moins 45 personnes",geopolitica,finanzas,0.8423069500532949,False
8312,« OpenAI rêve de faire de ChatGPT un environnement informatique autonome »,tecnologia,tecnologia,0.8467598849602462,True
8311,La « mise à jour » de la taxe foncière contestée jusque chez les macronistes,politica,politica,0.851463593510885,True
8310,"Chronique Alain Frachon Article réservé aux abonnés« Les débuts de la “paix perpétuelle” du plan Trump pour Gaza s’annoncent problématiques » Le vote par le Conseil de sécurité de l’ONU de la phase II de son plan de paix a été qualifié d’« aube d’un âge d’or » par le président américain. Mais comment départager ces fanfaronnades de la réalité « réelle », s’interroge, dans sa chronique, Alain Frachon, éditorialiste au « Monde ». 3 min de lecture",geopolitica,geopolitica,0.8699760134043268,True
8309,"Fenêtres mal pensées, accusations de plagiat… Il y a quarante ans, les débuts poussifs de Windows",tecnologia,finanzas,0.8652178244297479,False
8308,La Chine multiplie les mesures de rétorsion contre le Japon et suspend des voyages et l’achat de produits de la mer,geopolitica,geopolitica,0.8601118509895402,True
